Site,Latitude,Longitude,Biome,Continent,Duration
Hitchiti,34.766,-84.1435,Forest,NAm,19
UniversityMissouri,36.9,-90.31666667,Forest,NAm,64
TallTimbers,30.65,-84.2,Savanna,NAm,47
Alapaha,31.16666667,-83.25,Savanna,NAm,38
Morton,41.817,-88.05,Forest,NAm,21
Okmulgee,35.633,-96.03,Forest,NAm,19
LaPampa,-38.75,-63.75,Savanna,SAm,18
Yackelup,-34.1834,116.6186,Forest,Aus,34
Ukulinga,-29.67,30.4,Savanna,Afr,60
McCorkill,-33.9438,115.5312,Forest,Aus,39
KrugerSatara,-24.401,31.746,Savanna,Afr,56
Tiogo,12.22,-2.7,Savanna,Afr,12
Bauple,-25.9,152.7,Forest,Aus,27
Cedar Creek,45.416667,-93.166667,Savanna,NAm,31
Laba,11.67,-2.83,Savanna,Afr,10
Marondera,-18.25,31.25,Savanna,Afr,54
Nylsvley,-24.67,28.72,Savanna,Afr,12
Peachester North,-26.87,152.85,Forest,Aus,40
Peachester South,-26.87,152.85,Forest,Aus,40
Red Volta,10.9,-0.7,Savanna,Afr,27
Solar Village,-12.62,131.1,Savanna,Afr,23
Tanguro,-13.1,-52.4,Forest,SAm,6
Munmarlary (open forest),-12.4667,132.5,Savanna,Aus,22
Munmarlary (woodland),-12.4667,132.5,Savanna,Aus,24
Kisatchie,31,-92.5,Savanna,NAm,37
KrugerMopani,-24.401,31.746,Savanna,Afr,56
KrugerPretoriuskop,-24.401,31.746,Savanna,Afr,56
KrugerSkukuza,-24.401,31.746,Savanna,Afr,56
Kapalga,-12.833,132.833,Savanna,Aus,4
HighlandRim,35.5,-86.25,Savanna,NAm,42
Lamto,6.21667,5.033,Savanna,Afr,36